127.0.0.1 - - [17/Dec/2024:00:43:09 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [17/Dec/2024:00:43:11 +0530] "GET /OnlineShopping/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2024:00:43:26 +0530] "POST /OnlineShopping/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Dec/2024:00:43:26 +0530] "GET /OnlineShopping/Admin/AdminPage.html HTTP/1.1" 200 1297
0:0:0:0:0:0:0:1 - - [17/Dec/2024:00:43:30 +0530] "GET /OnlineShopping/Admin/AdminPage.html?action=%2FAddCategory.html HTTP/1.1" 200 1297
0:0:0:0:0:0:0:1 - - [17/Dec/2024:00:43:41 +0530] "GET /OnlineShopping/Admin/AdminPage.html?action=%2FDeleteCategory.html HTTP/1.1" 200 1297
0:0:0:0:0:0:0:1 - - [17/Dec/2024:00:43:43 +0530] "GET /OnlineShopping/Admin/AdminPage.html?action=%2FAddCategory.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2024:00:44:37 +0530] "GET /OnlineShopping/Admin/AdminPage.html?action=%2FAddProduct.html HTTP/1.1" 200 1297
0:0:0:0:0:0:0:1 - - [17/Dec/2024:00:44:39 +0530] "GET /OnlineShopping/Admin/AdminPage.html?action=%2FDeleteCategory.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2024:00:47:34 +0530] "POST /OnlineShopping/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Dec/2024:00:47:34 +0530] "GET /OnlineShopping/Admin/AdminPage.html HTTP/1.1" 200 1333
0:0:0:0:0:0:0:1 - - [17/Dec/2024:00:47:38 +0530] "GET /OnlineShopping/Admin/AdminPage.html?action=%2FAddCategory.html HTTP/1.1" 200 1333
0:0:0:0:0:0:0:1 - - [17/Dec/2024:00:50:48 +0530] "POST /OnlineShopping/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Dec/2024:00:50:48 +0530] "GET /OnlineShopping/Admin/AdminPage.html HTTP/1.1" 200 979
0:0:0:0:0:0:0:1 - - [17/Dec/2024:00:50:51 +0530] "GET /AddCategory.html HTTP/1.1" 404 767
